IES.PADRE,IES,Programa Académico,GÉNERO,AÑO,Semestre,Total Matriculados
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,HOMBRE,2015,1,897
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,MUJER,2015,1,7
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,HOMBRE,2015,1,15
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,MUJER,2015,1,52
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,HOMBRE,2015,1,9
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,MUJER,2015,1,298
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,HOMBRE,2015,1,161
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,MUJER,2015,1,110
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,HOMBRE,2015,1,34
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,MUJER,2015,1,27
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,HOMBRE,2015,1,73
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,MUJER,2015,1,18
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,HOMBRE,2015,1,184
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,MUJER,2015,1,3
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,HOMBRE,2015,1,22
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,MUJER,2015,1,16
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,HOMBRE,2015,1,18
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN TELECOMUNICACIONES INALAMBRICAS,MUJER,2015,1,3
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN TELECOMUNICACIONES INALAMBRICAS,HOMBRE,2015,1,16
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,MUJER,2015,1,54
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,HOMBRE,2015,1,447
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,MUJER,2015,1,113
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,HOMBRE,2015,1,367
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,MUJER,2015,1,104
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,HOMBRE,2015,1,140
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,MUJER,2015,1,382
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,HOMBRE,2015,1,285
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,MUJER,2015,1,487
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,HOMBRE,2015,1,618
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,MUJER,2015,1,34
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN LENGUAS MODERNAS,MUJER,2015,1,304
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN LENGUAS MODERNAS,HOMBRE,2015,1,171
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,MUJER,2015,1,472
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,HOMBRE,2015,1,248
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN MERCADEO Y PUBLICIDAD,MUJER,2015,1,205
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN MERCADEO Y PUBLICIDAD,HOMBRE,2015,1,255
5802,UNIVERSIDAD ECCI,MERCADEO Y PUBLICIDAD,MUJER,2015,1,157
5802,UNIVERSIDAD ECCI,MERCADEO Y PUBLICIDAD,HOMBRE,2015,1,160
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION CONTABLE,MUJER,2015,1,146
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION CONTABLE,HOMBRE,2015,1,80
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN SOPORTE DE TELECOMUNICACIONES,MUJER,2015,1,26
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN SOPORTE DE TELECOMUNICACIONES,HOMBRE,2015,1,146
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,MUJER,2015,1,25
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,HOMBRE,2015,1,323
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO AMBIENTAL,MUJER,2015,1,850
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO AMBIENTAL,HOMBRE,2015,1,641
5802,UNIVERSIDAD ECCI,ENFERMERIA,MUJER,2015,1,129
5802,UNIVERSIDAD ECCI,ENFERMERIA,HOMBRE,2015,1,37
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO INFORMATICO,MUJER,2015,1,108
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO INFORMATICO,HOMBRE,2015,1,510
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,MUJER,2015,1,926
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,HOMBRE,2015,1,1367
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTROMEDICINA,MUJER,2015,1,171
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTROMEDICINA,HOMBRE,2015,1,231
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA INDUSTRIAL,MUJER,2015,1,56
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA INDUSTRIAL,HOMBRE,2015,1,651
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA AUTOMOTRIZ,MUJER,2015,1,51
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA AUTOMOTRIZ,HOMBRE,2015,1,1819
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,MUJER,2015,1,1
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,HOMBRE,2015,1,19
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,HOMBRE,2015,1,13
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN COMERCIO EXTERIOR Y NEGOCIOS INTERNACIONALES,MUJER,2015,1,1
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,MUJER,2015,1,214
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,HOMBRE,2015,1,231
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,MUJER,2015,1,8
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,HOMBRE,2015,1,32
