IES.PADRE,InstituciÃ³n de EducaciÃ³n Superior (IES),Programa Académico,Id GÃ©nero,AÃ±o,Semestre,Total Matriculados
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,1,2015,1,897
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,2,2015,1,7
5802,UNIVERSIDAD ECCI,INGENIERIA DE PLASTICOS,1,2015,1,15
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,2,2015,1,52
5802,UNIVERSIDAD ECCI,DISEÑO DE MODAS,1,2015,1,9
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,2,2015,1,298
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,1,2015,1,161
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,2,2015,1,110
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,1,2015,1,34
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,2,2015,1,27
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,1,2015,1,73
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,2,2015,1,18
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,1,2015,1,184
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,2,2015,1,3
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,1,2015,1,22
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,2,2015,1,16
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE INGENIERIA HOSPITALARIA,1,2015,1,18
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN TELECOMUNICACIONES INALAMBRICAS,2,2015,1,3
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN TELECOMUNICACIONES INALAMBRICAS,1,2015,1,16
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,2,2015,1,54
5802,UNIVERSIDAD ECCI,INGENIERIA ELECTRONICA,1,2015,1,447
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,2,2015,1,113
5802,UNIVERSIDAD ECCI,INGENIERIA DE SISTEMAS,1,2015,1,367
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,2,2015,1,104
5802,UNIVERSIDAD ECCI,INGENIERIA BIOMEDICA,1,2015,1,140
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,2,2015,1,382
5802,UNIVERSIDAD ECCI,INGENIERIA AMBIENTAL,1,2015,1,285
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,2,2015,1,487
5802,UNIVERSIDAD ECCI,INGENIERIA INDUSTRIAL,1,2015,1,618
5802,UNIVERSIDAD ECCI,INGENIERIA MECANICA,2,2015,1,34
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN LENGUAS MODERNAS,2,2015,1,304
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN LENGUAS MODERNAS,1,2015,1,171
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,2,2015,1,472
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,1,2015,1,248
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN MERCADEO Y PUBLICIDAD,2,2015,1,205
5802,UNIVERSIDAD ECCI,TECNICO PROFESIONAL EN MERCADEO Y PUBLICIDAD,1,2015,1,255
5802,UNIVERSIDAD ECCI,MERCADEO Y PUBLICIDAD,2,2015,1,157
5802,UNIVERSIDAD ECCI,MERCADEO Y PUBLICIDAD,1,2015,1,160
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION CONTABLE,2,2015,1,146
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION CONTABLE,1,2015,1,80
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN SOPORTE DE TELECOMUNICACIONES,2,2015,1,26
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN SOPORTE DE TELECOMUNICACIONES,1,2015,1,146
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,2,2015,1,25
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,1,2015,1,323
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO AMBIENTAL,2,2015,1,850
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO AMBIENTAL,1,2015,1,641
5802,UNIVERSIDAD ECCI,ENFERMERIA,2,2015,1,129
5802,UNIVERSIDAD ECCI,ENFERMERIA,1,2015,1,37
